"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C316043","RCLAMP0521P-N","BORN","0402","D201 D202 D203 D204 D205 D300 D500 D501 D502 D503 D504 D505 D506 D507 D508 D509","3.5A@8/20us 16V 6V 5V@Max Bi-Directional 0402  TVS ROHS","yes","250","10","0.0342","8.55","https://assets.lcsc.com/images/lcsc/96x96/20181021_BORN-RCLAMP0521P-N_C316043_front.jpg"
"C1002","GZ1608D601TF","Sunlord","0603","FB100 FB500 FB501","200mA 1 450mΩ 600Ω@100MHz ±25% 0603  Ferrite Beads ROHS","yes","100","100","0.0053","0.53","https://assets.lcsc.com/images/lcsc/96x96/20180914_Sunlord-GZ1608D601TF_C1002_front.jpg"
"C239059","20021111-00010T4LF","Amphenol ICC","Straight,P=1.27mm","J200","Straight Square Pins 2 10 1.27mm Black Copper Alloy 2x5P 1.27mm Straight,P=1.27mm  Pin Headers ROHS","yes","15","1","0.5801","8.7","https://assets.lcsc.com/images/lcsc/96x96/20180914_Amphenol-ICC-20021111-00010T4LF_C239059_front.jpg"
"C281265","MPIT4018-150M-LF","microgate","SMD","L1","1A 15uH ±20% 190mΩ SMD  Power Inductors ROHS","yes","20","10","0.075","1.5","https://assets.lcsc.com/images/lcsc/96x96/20181009_microgate-MPIT4018-150M-LF_C281265_front.jpg"
"C22726","SDCL1005CR10JTDF","Sunlord","0402","L300","150mA 100nH ±5% 2.6Ω 0402  Inductors (SMD) ROHS","yes","100","100","0.0041","0.41","https://assets.lcsc.com/images/lcsc/96x96/20180922_Sunlord-SDCL1005CR10JTDF_C22726_front.jpg"
"C693260","AO3401A","VBsemi Elec","SOT-23-3","Q100","30V 5.4A 1.25W 55mΩ@10V,4.4A 2V@250uA P Channel SOT-23-3  MOSFETs ROHS","yes","20","5","0.109","2.18","https://assets.lcsc.com/images/lcsc/96x96/20200702_VBsemi-Elec-AO3401A_C693260_front.jpg"
"C25117","0402WGF4700TCE","UNI-ROYAL(Uniroyal Elec)","0402","R100","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 470Ω 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220531_UNI-ROYAL-Uniroyal-Elec-0402WGF4700TCE_C25117_front.jpg"
"C4940","0402WGF3401TCE","UNI-ROYAL(Uniroyal Elec)","0402","R101","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 3.4kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF3401TCE_C4940_front.jpg"
"C85373","0402WGF1021TCE","UNI-ROYAL(Uniroyal Elec)","0402","R102","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1.02kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0007","0.07","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF1021TCE_C85373_front.jpg"
"C25744","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","0402","R200 R202","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0007","0.07","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744_front.jpg"
"C17168","0402WGF0000TCE","UNI-ROYAL(Uniroyal Elec)","0402","R201 R301 R302 R500 R501 R502 R503 R504 R505","62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% -55℃~+155℃ 0Ω 0402  Chip Resistor - Surface Mount ROHS","yes","200","100","0.0005","0.1","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168_front.jpg"
"C25879","0402WGF2201TCE","UNI-ROYAL(Uniroyal Elec)","0402","R203 R204","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 2.2kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF2201TCE_C25879_front.jpg"
"C11702","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)","0402","R103 R205","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702_front.jpg"
"C25092","0402WGF220JTCE","UNI-ROYAL(Uniroyal Elec)","0402","R206 R207 R208","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ -55℃~+155℃ 22Ω 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220531_UNI-ROYAL-Uniroyal-Elec-0402WGF220JTCE_C25092_front.jpg"
"C25077","0402WGF100JTCE","UNI-ROYAL(Uniroyal Elec)","0402","R300","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ -55℃~+155℃ 10Ω 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0005","0.05","https://assets.lcsc.com/images/lcsc/96x96/20220531_UNI-ROYAL-Uniroyal-Elec-0402WGF100JTCE_C25077_front.jpg"
"C25792","0402WGF4702TCE","UNI-ROYAL(Uniroyal Elec)","0402","R506 R507 R508 R509 R510","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 47kΩ 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0006","0.06","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0402WGF4702TCE_C25792_front.jpg"
"C25079","0402WGF1200TCE","UNI-ROYAL(Uniroyal Elec)","0402","R511","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 120Ω 0402  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0006","0.06","https://assets.lcsc.com/images/lcsc/96x96/20220531_UNI-ROYAL-Uniroyal-Elec-0402WGF1200TCE_C25079_front.jpg"
"C15742","STM32F405RGT6","STMicroelectronics","LQFP-64_10x10x05P","U200","192KB 1MB 1.8V~3.6V -40℃~+85℃ ARM Cortex-M4 1@x2ch/12bit 1@x16ch/12bit Internal oscillator included  168MHz 51 LQFP-64_10x10x05P  Microcontroller Units (MCUs/MPUs/SOCs) ROHS","yes","20","1","10.9373","218.75","https://assets.lcsc.com/images/lcsc/96x96/20190613_STMicroelectronics-STM32F405RGT6_C15742_front.jpg"
"C7519","USBLC6-2SC6","STMicroelectronics","SOT-23-6","U201","17V 5A 5.25V 6V Unidirectional SOT-23-6  ESD Protection Devices ROHS","yes","15","5","0.2157","3.24","https://assets.lcsc.com/images/lcsc/96x96/20200617_STMicroelectronics-USBLC6-2SC6_C7519_front.jpg"
"C13738","X322516MLB4SI","Yangxing Tech","SMD3225-4P","Y200","16MHz SMD Crystal Resonator 9pF ±10ppm ±30ppm -40℃~+85℃ SMD3225-4P  Crystals ROHS","yes","15","5","0.0863","1.29","https://assets.lcsc.com/images/lcsc/96x96/20200709_Yangxing-Tech-X322516MLB4SI_C13738_front.jpg"
"C495551","BM04B-SURS-TF(LF)(SN)","JST Sales America","SMD,P=0.8mm","","1x4P 1 0.8mm Male pin 4 -25℃~+85℃ Brick nogging SMD,P=0.8mm  Wire To Board / Wire To Wire Connector ROHS","yes","35","1","0.2401","8.4","https://assets.lcsc.com/images/lcsc/96x96/20200406_JST-Sales-America-BM04B-SURS-TF-LF-SN_C495551_front.jpg"
