"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C19702","CL10A106KP8NNNC","Samsung Electro-Mechanics","0603","C102 C200 C300 C402 C500","10V 10uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","100","0.0033","0.33","https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702_front_10.jpg"
"C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics","0402","C101 C201 C202 C203 C204 C205 C206 C212 C301 C302 C400 C401 C403 C404 C405 C501 C502 C503 C504","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","300","100","0.0011","0.33","https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525_front.jpg"
"C23630","CL10A225KO8NNNC","Samsung Electro-Mechanics","0603","C100 C207 C208","16V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","50","0.0057","0.57","https://assets.lcsc.com/images/lcsc/96x96/20200926_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630_front.jpg"
"C32949","CL05C100JB5NNNC","Samsung Electro-Mechanics","0402","C209 C210","50V 10pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","100","0.0054","0.54","https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL05C100JB5NNNC_C32949_front.jpg"
"C15195","CL05B103KB5NNNC","Samsung Electro-Mechanics","0402","C303","50V 10nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","100","0.001","0.1","https://assets.lcsc.com/images/lcsc/96x96/20200709_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195_front.jpg"
"C1531","0402B222K500NT","FH (Guangdong Fenghua Advanced Tech)","0402","C406","50V 2.2nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","100","0.0011","0.11","https://assets.lcsc.com/images/lcsc/96x96/20200926_FH--Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531_front.jpg"
"C131797","LM5Z2V7T1G","LRC","SOD-523","D100","20uA@1V 100Ω Single 2.5V~2.9V 200mW 2.7V SOD-523  Zener Diodes ROHS","yes","20","20","0.0266","0.53","https://assets.lcsc.com/images/lcsc/96x96/20180914_LRC-LM5Z2V7T1G_C131797_front.jpg"
"C8598","B5819W SL","Jiangsu Changjing Electronics Technology Co., Ltd.","SOD-123","D101","40V 600mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS","yes","20","20","0.0326","0.65","https://assets.lcsc.com/images/lcsc/96x96/20190517_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--B5819W-SL_C8598_front.jpg"
"C72043","19-217/GHC-YR1S2/3T","Everlight Elec","0603","D102","20mA 518nm Colorless transparence -40℃~+85℃ 520nm~535nm Emerald 120° 110mW 0603  Light Emitting Diodes (LED) ROHS","yes","20","20","0.0291","0.58","https://assets.lcsc.com/images/lcsc/96x96/20190628_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043_front.jpg"
"C72041","19-217/BHC-ZL1M2RY/3T","Everlight Elec","0603","D200","5mA 468nm Colorless transparence -40℃~+85℃ 465nm~475nm blue 120° 110mW 0603  Light Emitting Diodes (LED) ROHS","yes","20","20","0.0192","0.38","https://assets.lcsc.com/images/lcsc/96x96/20190709_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041_front.jpg"
